009XT,rn1qk2r/pp3ppp/3bp1b1/3p4/3Pn2N/3BB3/PPP2PPP/RN1Q1RK1 w kq - 4 10,h4g6 d6h2 g1h1 h7g6,2005,73,94,6192,crushing intermezzo opening short,https://lichess.org/bf23N8Ng#19
009f8,8/1p4p1/pb2ppkp/3n4/3P4/P3BN1P/1P2KPP1/8 b - - 0 26,g6f5 f3h4 f5e4 f2f3,1183,77,87,84,endgame mate mateIn2 short,https://lichess.org/paDYagZM/black#52
009lk,1R6/6pk/2p4p/3bP2r/5B1P/2P2qP1/P4P1Q/4R1K1 w - - 2 40,e1e3 f3d1 e3e1 d1e1,1359,338,100,5,mate mateIn2 middlegame short,https://lichess.org/gLNPef4f#79
009tE,6k1/6pp/p1N2p2/1pP2bP1/5P2/8/PPP5/3K4 b - - 1 28,f6g5 c6e7 g8f7 e7f5,677,106,90,315,crushing endgame fork short,https://lichess.org/fUV1iXBx/black#56
009zR,3r4/p1p2ppp/4k3/6Q1/5P2/4P3/Prqn2PP/3R1RK1 w - - 3 22,g5d8 d2f3 g1h1 c2g2,1591,79,79,164,discoveredAttack endgame mate mateIn2 short,https://lichess.org/SctCD3fJ#43
00A1H,2r3k1/4brp1/2p3b1/2Pp1q1p/3B3P/2P2N2/PP3P1K/R2Q2R1 w - - 1 31,f3g5 f5f4 h2g2 e7g5,2039,85,79,199,crushing middlegame short,https://lichess.org/GeoPB5fa#61
00A5v,4r1k1/pp1qr1p1/7p/2pPR3/2P2p2/1PQ2P2/P5PP/4R1K1 w - - 3 33,c3d2 e7e5 e1e5 e8e5,612,91,95,294,crushing endgame short,https://lichess.org/1WXk6Mn2#65
00AB1,8/7Q/3p1kp1/1p6/2b5/2P4P/5PPK/4q3 b - - 8 36,e1c3 h7h8 f6e6 h8c3,1156,75,95,6141,crushing endgame short skewer,https://lichess.org/KQDr21Ph/black#72
00AHY,r6k/3NR1p1/4n2p/5b2/p6P/6R1/8/6K1 w - - 2 43,h4h5 a4a3 g3a3 a8a3 e7e8 h8h7,1352,75,90,1349,advantage endgame long,https://lichess.org/SFxNjHBp#85
00AVR,br1qkb1r/p1pp1ppp/4Pn2/6B1/3Qn3/5NP1/P3PPBP/RN1R2K1 b k - 0 15,d7e6 d4a4 d8d7 d1d7,1923,78,70,37,crushing opening short,https://lichess.org/KxeQFmHl/black#30
00Aae,1R6/1P6/4pkp1/5p2/3P3p/3KP3/8/1r6 b - - 0 43,h4h3 b8f8 f6e7 b7b8q b1b8 f8b8,1019,78,87,332,advancedPawn clearance crushing endgame long promotion rookEndgame,https://lichess.org/mLIjph1r/black#86
00Af3,8/8/2B2p1p/P4Pp1/3p1kP1/1b1Pb2P/8/4K3 b - - 0 50,f4g3 a5a6 b3c4 a6a7,1227,74,95,2222,advancedPawn bishopEndgame crushing endgame short,https://lichess.org/JBQDYKyD/black#100
